official_name,FECID,nothing_2024,firstname,lastname,bioname,state,state_abb,district,incumbent,level,electoral_district,office_name,candidate_UUID,party_ID,DOB,race,gender,person_UUID,ICPSR,state_ICPSR,bioguide_ID,nominate_dim1,office_facebook_page,office_instagram_account,office_twitter_account,office_youtube_account,office_tiktok_account,campaign_facebook_page,campaign_instagram_account,campaign_twitter_account,campaign_youtube_account,campaign_tiktok_account,office_truthsocial_account,campaign_truthsocial_account,office_telegram_account,campaign_telegram_account,office_gettr_account,campaign_gettr_account,office_rumble_account,campaign_rumble_account,cook_2024,competitive,seatup_2024,cookreport24_raw,party_standardized
Adam Frisch,H2CO03351,0.0,Adam,Frisch,,Colorado,CO,3.0,Non-Incumbent,country,Colorado's 3rd congressional district,U.S. Representative,ae3352c8-f1c0-5e14-af65-e6dff4e3bb1b,Democratic Party,10/1/67,,,ce529cf3-7360-436e-9b74-9f931eea5620,,,,,,,,,,https://www.facebook.com/adamforcolorado,https://www.instagram.com/adamforcolorado/,https://x.com/AdamForColorado,https://www.youtube.com/@adamforcolorado,,,,,,,,,,Lean Republican,1.0,,,Democratic Party
Adam Gray,H2CA13115,0.0,Adam,Gray,,California,CA,13.0,Non-Incumbent,country,California's 13th congressional district,U.S. Representative,07707b55-dd01-5a0b-8996-28b699994986,Democratic Party,9/23/77,,,08d0e4e5-ee72-4380-820f-0cc1fb62eee0,,,,,,,,,,https://www.facebook.com/AdamGrayForCongress/,https://www.instagram.com/adamgrayforcongress/,https://twitter.com/adamgrayca,https://www.youtube.com/channel/UCyrcBQBtBM7946UH2Ft26Kw,,,,,,,,,,Republican Toss Up,1.0,,,Democratic Party
Adam Hollier,H2MI13246,0.0,Adam,Hollier,,Michigan,MI,13.0,Non-Incumbent,country,Michigan's 13th congressional district,U.S. Representative,e634553c-4314-5be3-88ca-91111d3c67d3,Democratic Party,,,,1d12786a-d24d-4c55-b22a-5caffaa886bd,,,,,,,,https://www.youtube.com/user/WatchAdamHollier/videos,,https://www.facebook.com/SenAdamHollier/,https://www.instagram.com/adamholliersr,https://x.com/adamant4Detroit,,,,,,,,,,,Not Competitive,0.0,,,Democratic Party
Adam Miller,H4OH15083,0.0,Adam,Miller,,Ohio,OH,15.0,Non-Incumbent,country,Ohio's 15th congressional district,U.S. Representative,385045a3-4f9b-5ebf-9680-a018c78538d9,Democratic Party,1/27/65,,,077cca1c-7d0a-41fa-9ded-d1c8cb81672f,,,,,,,,,,https://www.facebook.com/miller4ohio/,https://www.instagram.com/adammillerforcongress/,https://twitter.com/AMillerForCD15,https://www.youtube.com/@adammiller29,,,,,,,,,,Not Competitive,0.0,,,Democratic Party
Adam Morgan,H4SC04093,0.0,Adam,Morgan,,South Carolina,SC,4.0,Non-Incumbent,country,South Carolina's 4th congressional district,U.S. Representative,e58f6926-a3be-5415-bb7c-6de4d72300bb,Republican Party,,,,b28c30ef-be3c-4fc5-9767-28e8f4aec302,,,,,,,,,,https://www.facebook.com/voteadammorgan/,https://www.instagram.com/voteadammorgan/,https://x.com/RepAdamMorgan,https://www.youtube.com/@VoteAdamMorgan/featured,,,,,,,,,,Not Competitive,0.0,,,Republican Party
Adam Schiff,H0CA27085,0.0,Adam,Schiff,"SCHIFF, Adam",California,CA,30.0,Incumbent; Ran for Senate,country,California's 30th congressional district,U.S. Representative,98066102-5cb0-555b-8686-8f77e0a3bc16,Democratic Party,6/22/60,White,Male,899e8b39-d0c7-46eb-aac7-d8f65db8d7c2,20104.0,71.0,S001150,-0.35,https://www.facebook.com/RepAdamSchiff,https://www.instagram.com/RepAdamSchiff/,https://twitter.com/RepAdamSchiff,https://www.youtube.com/RepAdamSchiff,,https://www.facebook.com/AdamSchiffCA/,https://www.instagram.com/AdamSchiffCA/,https://twitter.com/AdamSchiff,,https://www.tiktok.com/@adamschiff,,,,,,,,,Not Competitive,0.0,,,Democratic Party
Adam Smith,H6WA09025,0.0,Adam,Smith,"SMITH, Adam",Washington,WA,9.0,Incumbent,country,Washington's 9th congressional district,U.S. Representative,8f7c8597-ae19-54a2-9eb0-bcd0cc757393,Democratic Party,6/15/65,White,Male,99473373-c8a6-4321-829c-849c5d0aeee5,29768.0,73.0,S000510,-0.29,https://www.facebook.com/RepAdamSmith,https://www.instagram.com/repadamsmith/,https://twitter.com/RepAdamSmith,https://www.youtube.com/user/Congressmanadamsmith,,https://facebook.com/adamsmithforcongress,https://instagram.com/electadamsmith,https://twitter.com/electadamsmith,,,,,,,,,,,Not Competitive,0.0,,,Democratic Party
Adam Withrow,H4CO03324,0.0,Adam,Withrow,,Colorado,CO,3.0,Non-Incumbent,country,Colorado's 3rd congressional district,U.S. Representative,dad17cc3-b4c9-51fd-bfc7-c7537ecf10fb,Unity Party,5/25/83,,,3b82ffc9-b9c8-4b01-bb06-059eeb99431a,,,,,,,,,,,,,,,,,,,,,,,Lean Republican,1.0,,,Third Party
Addison McDowell,H4NC06177,0.0,Addison,Mcdowell,,North Carolina,NC,6.0,Non-Incumbent,country,North Carolina's 6th congressional district,U.S. Representative,2bbf890c-c3dc-500e-a3e1-c365e0725e46,Republican Party,,,,4cedf8dc-4a6c-4bde-9858-8b4ec7f0426f,,,,,,,,,,https://www.facebook.com/mcdowellfornc,https://www.instagram.com/mcdowell4congress/,https://twitter.com/Addison_McD,https://www.youtube.com/@TeamAddisonMcDowell,,,,,,,,,,Not Competitive,0.0,,,Republican Party
Addul Ali,H4NC12175,0.0,Addul,Ali,,North Carolina,NC,12.0,Non-Incumbent,country,North Carolina's 12th congressional district,U.S. Representative,26e8886e-c7cf-541e-9ae9-140c723261d6,Republican Party,,,,998546fc-76c5-415b-b3d5-bdc2b11a8156,,,,,,,,,,https://www.facebook.com/aliforcongress,https://www.instagram.com/alifornc/,https://x.com/addul_ali,https://www.youtube.com/@alifornc,,,,,,,,,,Not Competitive,0.0,,,Republican Party
Aditya Pai,H4CA45139,0.0,Aditya,Pai,,California,CA,45.0,Non-Incumbent,country,California's 45th congressional district,U.S. Representative,e98d020b-8a96-546e-ac72-4d20069eb588,Democratic Party,,,,b992579c-317c-4435-8bfe-51a97e0ea0a3,,,,,,,,,,https://www.facebook.com/paiforcongress,https://www.instagram.com/paiforcongress/,https://x.com/paiforcongress,https://www.youtube.com/@paiforcongress/featured,https://www.tiktok.com/@adityapai_,,,,,,,,,Lean Republican,1.0,,,Democratic Party
Adrian A. Pokharel,H4VA10295,0.0,Adrian,Pokharel,,Virginia,VA,10.0,Non-Incumbent,country,Virginia's 10th congressional district,U.S. Representative,914da4b5-2c5d-533d-a725-c1820347ec76,Democratic Party,,,,d0141084-8ef7-4993-8443-943c7e08a9fe,,,,,,,,,,https://www.facebook.com/AdrianAshishPokharel,https://www.instagram.com/adrian4congress/,https://x.com/adrianapokharel,https://www.youtube.com/@Adrian4Congress,https://www.tiktok.com/@adrianpokharel?lang=en,,,,,,,,,Not Competitive,0.0,,,Democratic Party
Adrian Smith,H6NE03115,0.0,Adrian,Smith,"SMITH, Adrian",Nebraska,NE,3.0,Incumbent,country,Nebraska's 3rd congressional district,U.S. Representative,74462a16-9f9a-5f20-8fc8-c8f11e586729,Republican Party,12/19/70,White,Male,1785822e-e827-4699-8762-38edd8ab211d,20729.0,35.0,S001172,0.511,https://www.facebook.com/RepAdrianSmith/,https://www.instagram.com/repadriansmith/,https://twitter.com/RepAdrianSmith,https://www.youtube.com/user/RepAdrianSmith,,https://www.facebook.com/AdrianSmithNE/,,,,,,,,,,,,,Not Competitive,0.0,,,Republican Party
Adriano Espaillat,H2NY13096,0.0,Adriano,Espaillat,"ESPAILLAT, Adriano J.",New York,NY,13.0,Incumbent,country,New York's 13th congressional district,U.S. Representative,65e1fb4c-0e63-545e-bc97-af1fe9817f4c,Democratic Party,9/27/54,"Multiracial, Black or African-American, Hispanic or Latino",Male,98a748c8-8cb7-4dd7-acf1-5a321a1c38eb,21715.0,13.0,E000297,-0.542,https://www.facebook.com/RepEspaillat/,https://www.instagram.com/repadrianoespaillat/,https://twitter.com/RepEspaillat,https://www.youtube.com/channel/UCi0niBYFhEY70Dz8InbX5OQ,,,,https://twitter.com/EspaillatNY,,,,,,,,,,,Not Competitive,0.0,,,Democratic Party
Ahmed Ghanim,H4MI11121,0.0,Ahmed,Ghanim,,Michigan,MI,11.0,Non-Incumbent,country,Michigan's 11th congressional district,U.S. Representative,a2892641-eca0-5b07-b2be-218b8911afec,Democratic Party,,,,39feb55f-9d8c-45d0-8191-4b2ba4dca573,,,,,,,,,,https://www.facebook.com/AG4Congress,https://www.instagram.com/ag4congress/,https://x.com/ag4congress,,,,,,,,,,,Not Competitive,0.0,,,Democratic Party
Ahmed Mostafa,H4CA16254,0.0,Ahmed,Mostafa,,California,CA,16.0,Non-Incumbent,country,California's 16th congressional district,U.S. Representative,eebbc003-3463-5069-8718-ad3265c772a0,Democratic Party,,,,ab18f162-c888-4b06-be4a-57b1d0f96dbb,,,,,,,,,,https://www.facebook.com/AhmedForCongress/,https://www.instagram.com/ahmedforcongress,https://twitter.com/ahmed4congress,https://www.youtube.com/@AhmedForCongress,https://www.tiktok.com/@ahmedforcongress,,,,,,,,,Not Competitive,0.0,,,Democratic Party
Ahsan M. Nasar,H4VA11137,0.0,Ahsan,Nasar,,Virginia,VA,11.0,Non-Incumbent,country,Virginia's 11th congressional district,U.S. Representative,22dcae24-4aba-53a9-8d1c-7faab85cbab3,Democratic Party,,,,1df393da-452c-44ca-9a04-5c6d43462f8e,,,,,,,,,,https://www.facebook.com/NasarForCongress,https://www.instagram.com/nasarforcongress/,https://x.com/AhsanNasarVA,https://www.youtube.com/channel/UCzdHWItrFv14vN5jsrb6yZA,,,,,,,,,,Not Competitive,0.0,,,Democratic Party
Aisha Khan,H4MD03297,0.0,Aisha,Khan,,Maryland,MD,3.0,Non-Incumbent,country,Maryland's 3rd congressional district,U.S. Representative,ac4296bb-5293-549b-b03c-443b3a444d8c,Democratic Party,,,,1c053344-d0c2-4ae1-aecb-963048e14d86,,,,,,,,,,https://www.facebook.com/aishakhanforchange/,https://www.instagram.com/Aishaforchange,https://x.com/AishaForChange,https://www.youtube.com/@aishakhan8908,https://www.tiktok.com/@aishaforcongress?lang=en,,,,,,,,,Not Competitive,0.0,,,Democratic Party
"AJ ""John"" Peters",H4MN07093,0.0,AJ,Peters,,Minnesota,MN,7.0,Non-Incumbent,country,Minnesota's 7th congressional district,U.S. Representative,b39e0bbd-7ba4-5290-9f4e-5c9d6c940bac,Democratic-Farmer-Labor Party,,,,b94d8f17-417b-4341-b436-2b97e13ef8d8,,,,,,,,,,https://www.facebook.com/people/AJPeters-for-Congress-MN-CD-7/61555971654043/,,,https://www.youtube.com/channel/UCGvPkN3lsbDWJNpzdDISytw,,,,,,,,,,Not Competitive,0.0,,,Democratic Party
Al Green,H4TX09095,0.0,Al,Green,"GREEN, Al",Texas,TX,9.0,Incumbent,country,Texas's 9th congressional district,U.S. Representative,f38831f4-2561-5ee0-9bfe-cb47780f6a99,Democratic Party,9/1/47,Black or African-American,Male,91d07c5e-29fb-4cc0-88ea-6e79eb46b649,20529.0,49.0,G000553,-0.443,https://www.facebook.com/repalgreen,https://www.instagram.com/repalgreen/,https://twitter.com/RepAlGreen,https://www.youtube.com/@RepAlGreen,,https://www.facebook.com/profile.php?id=100057979846028,,https://twitter.com/RepAlGreenTX,,,,,,,,,,,Not Competitive,0.0,,,Democratic Party
Alan D. Swain,H0NC02158,0.0,Alan,Swain,,North Carolina,NC,2.0,Non-Incumbent,country,North Carolina's 2nd congressional district,U.S. Representative,8cc6c5d1-ac4b-5a6c-95aa-736c3aa28f71,Republican Party,,,,43315d5f-4b6e-45ba-9cc9-42adb9682d67,,,,,,,,,,https://www.facebook.com/swain4congress,https://www.instagram.com/swain4congress,https://twitter.com/swain4congress,https://www.youtube.com/@swainforcongress6930/featured,,,https://truthsocial.com/@swain4congress,,,,https://gettr.com/user/swain4congress,,,Not Competitive,0.0,,,Republican Party
Alan Garza,H4TX29036,0.0,Alan,Garza,,Texas,TX,29.0,Non-Incumbent,country,Texas's 29th congressional district,U.S. Representative,fc12c59a-64a7-5214-a565-9b093308c773,Republican Party,,,,50b5d7c4-a1de-42cb-b937-49c5cb4252bb,,,,,,,,,,https://www.facebook.com/profile.php?id=100089014876756,https://www.instagram.com/fifth.of.november2024/,,,,,,,,,,,,Not Competitive,0.0,,,Republican Party
Alan Rapoport,H4OH11108,0.0,Alan,Rapoport,,Ohio,OH,11.0,Non-Incumbent,country,Ohio's 11th congressional district,U.S. Representative,ec4f7b1b-46d1-57a6-9170-65af51ae2da6,Republican Party,,,,b76fcbde-938a-4c0b-949e-ebe66ff4335f,,,,,,,,,,https://www.facebook.com/alan0600,,https://x.com/rapoport_a46366,,,,,,,,,,,Not Competitive,0.0,,,Republican Party
Alberta Gordon,H4NJ10226,0.0,Alberta,Gordon,,New Jersey,NJ,10.0,Non-Incumbent,country,New Jersey's 10th congressional district,U.S. Representative,a30be4b1-59e3-594a-a1b6-a993c917a733,Democratic Party,,,,b4e1b6e5-c4d1-4abf-9747-1dc66831a117,,,,,,,,,,https://www.facebook.com/alberta.gordon,https://www.instagram.com/albi_optimist/,,,,,,,,,,,,Not Competitive,0.0,,,Democratic Party
Alec Stevens,H4FL03144,0.0,Alec,Stevens,,Florida,FL,3.0,Non-Incumbent,country,Florida's 3rd congressional district,U.S. Representative,3455fab1-9a33-5779-a568-e4ecf2547350,Republican Party,,,,4ddda5d4-8f22-4772-9b6f-0b64ea9fdbf0,,,,,,,,,,https://www.facebook.com/profile.php?id=61561138568387,,,,,,,,,,,,,Not Competitive,0.0,,,Republican Party
Alex Balekian,H4CA30230,0.0,Alex,Balekian,,California,CA,30.0,Non-Incumbent,country,California's 30th congressional district,U.S. Representative,98d40e2d-ed8c-5db9-829c-fed5fdde91e3,Republican Party,3/9/79,,,e8274700-cc8f-4fa9-8518-6d7836f5a60c,,,,,,,,,,https://www.facebook.com/alexforca30,https://www.instagram.com/alexforca30,https://twitter.com/alexbalekian,https://www.youtube.com/@AlexForCA30/featured,https://www.tiktok.com/@alexforca30?lang=en,,,,,,,,,Not Competitive,0.0,,,Republican Party
Alex Cornwallis,H4TX06216,0.0,Alex,Cornwallis,,Texas,TX,32.0,Non-Incumbent,country,Texas's 32nd congressional district,U.S. Representative,8b14d485-884e-5d9f-bb28-0a94e44b530a,Democratic Party,,,,95ef3ec3-40b6-45c5-a026-3aaa564ca879,,,,,,,,,,https://www.facebook.com/AlexforUSCongress,https://www.instagram.com/alex4uscongress/?igsh=YzYzNHRidW01aTR0,https://twitter.com/alex4uscongress,,,,,,,,,,,Not Competitive,0.0,,,Democratic Party
"Alex H. Isaac, Jr.",H4VA10329,0.0,Alex,Isaac,,Virginia,VA,10.0,Non-Incumbent,country,Virginia's 10th congressional district,U.S. Representative,f2e4a6a4-517e-5e55-a8f5-8deea0290b80,Republican Party,,,,a191efaf-f79f-4753-9502-7c9201e8fd77,,,,,,,,,,https://www.facebook.com/alexisaac2024,https://www.instagram.com/alexisaac2024/followers/,https://x.com/AlexIsaac2024,https://www.youtube.com/@AlexIsaacForCongress,,,,,,,,,,Not Competitive,0.0,,,Republican Party
Alex Mooney,H4WV02080,0.0,Alex,Mooney,"MOONEY, Alex X.",West Virginia,WV,2.0,Incumbent; Ran for Senate,country,West Virginia's 2nd congressional district,U.S. Representative,e9983a20-4093-5c1d-8bf1-32d104c799d5,Republican Party,6/7/71,"Multiracial, Hispanic or Latino, White",Male,c6464302-c2bd-4d8e-88ec-cc640ef4f67b,21557.0,56.0,M001195,0.568,https://www.facebook.com/CongressmanAlexMooney,https://www.instagram.com/repalexmooney/,https://twitter.com/RepAlexMooney,"https://www.youtube.com/@rep.alexmooney4877/, https://www.youtube.com/channel/UCw9CGkF4Re3areluI43TGyA",,https://www.facebook.com/MooneyforWV,https://www.instagram.com/mooneyforwv/,https://twitter.com/MooneyforWV,https://www.youtube.com/channel/UCkxdnfIUcFK2Jz9aFuW9iEw,,,,,,,,,,Not Competitive,0.0,,,Republican Party
Alexander C. Balazs,H4ND00079,0.0,Alexander,Balazs,,North Dakota,ND,1.0,Non-Incumbent,country,North Dakota,U.S. Representative,0aa8982c-0be7-5829-8a3f-7764bc926c1e,Republican Party,,,,00153243-f0c6-45ca-99ce-019e4b6ab71e,,,,,,,,,,https://www.facebook.com/AlexForNorthDakota,https://www.instagram.com/alexforcongress/,https://twitter.com/AlexForND,https://www.youtube.com/@AlexBalazsForCongress,,,,,,,,,,Not Competitive,0.0,,,Republican Party
Alexander Dodenhoff,H4NY10155,0.0,Alexander,Dodenhoff,,New York,NY,10.0,Non-Incumbent,country,New York's 10th congressional district,U.S. Representative,f037f574-3e75-5ed2-9510-895c511ba8ec,Republican Party,,,,7bdfe149-f697-442e-8254-155e9cf38418,,,,,,,,,,,,https://x.com/alexdodenhoff,,,,,,,,,,,Not Competitive,0.0,,,Republican Party
Alexander Gaaserud,H4WV02197,0.0,Alexander,Gaaserud,,West Virginia,WV,2.0,Non-Incumbent,country,West Virginia's 2nd congressional district,U.S. Representative,639b59fb-2cc1-5127-8a01-e61301f20cb9,Republican Party,,,,ff6e9a27-d861-4ea1-a14b-c452a5aa9a7a,,,,,,,,,,https://www.facebook.com/profile.php?id=100086599473232,,https://x.com/AlexGaaserud4WV,https://www.youtube.com/@alexgaaserud7825,,,,,,,,,,Not Competitive,0.0,,,Republican Party
"Alexandra ""Lexy"" Doherty",H4GA10113,0.0,Alexandra,Doherty,,Georgia,GA,10.0,Non-Incumbent,country,Georgia's 10th congressional district,U.S. Representative,2555ad73-b44f-5773-8425-8ac79f8d5982,Democratic Party,,,,e3c82da5-9055-4029-9dca-abcf18d2775b,,,,,,,,,,https://www.facebook.com/lexydoherty4congress,https://www.instagram.com/lexydohertyforcongress/,,https://www.youtube.com/@LexyDohertyforCongress,https://www.tiktok.com/@lexy.doherty?lang=en,,,,,,,,,Not Competitive,0.0,,,Democratic Party
Alexandria Ocasio-Cortez,H8NY15148,0.0,Alexandria,Cortez,"OCASIO-CORTEZ, Alexandria",New York,NY,14.0,Incumbent,country,New York's 14th congressional district,U.S. Representative,2e895abe-445c-5a7e-bf67-ffb30b0d0817,Democratic Party,10/13/89,Hispanic or Latino,Female,6bb25213-ed84-4fa4-8930-960a108fe5ce,21949.0,13.0,O000172,-0.312,https://www.facebook.com/repAOC/,https://www.instagram.com/repaoc/,https://twitter.com/RepAOC,https://www.youtube.com/channel/UC6XBnYptBnproA__ydn-b0A,,https://www.facebook.com/OcasioCortez/,,https://twitter.com/AOC,https://www.youtube.com/c/AOC/featured,https://www.tiktok.com/@aoc,,,,,,,,,Not Competitive,0.0,,,Democratic Party
Alfeia Goodwin,H2PA05116,0.0,Alfeia,Goodwin,,Pennsylvania,PA,5.0,Non-Incumbent,country,Pennsylvania's 5th congressional district,U.S. Representative,fad58972-a774-57c4-bbac-45010d576fbb,Republican Party,,,,58d2245d-61b5-4b67-aa2b-37f27973cf7a,,,,,,,,,,https://www.facebook.com/alfegoodwin,https://www.instagram.com/dr.alfeiagoodwinphd/,https://twitter.com/AlfeiaGood89159,https://www.youtube.com/@alfegoodwinforuscongress6129/,https://www.tiktok.com/@alfegoodwin,,,,,,,,,Not Competitive,0.0,,,Republican Party
Aliscia N. Andrews,H0VA10186,0.0,Aliscia,Andrews,,Virginia,VA,10.0,Non-Incumbent,country,Virginia's 10th congressional district,U.S. Representative,d9c547d7-0b97-5772-bc0b-3c8001a3abac,Republican Party,,,,bd223b67-7bde-46cd-8869-46582e67247c,,,,,,,,,,https://www.facebook.com/andrewsforcongress/,https://www.instagram.com/alisciaandrewsva/,https://x.com/alisciaandrews,https://www.youtube.com/@alisciaandrews8193/featured,,,,,,,,,,Not Competitive,0.0,,,Republican Party
Alison Esposito,H4NY18117,0.0,Alison,Esposito,,New York,NY,18.0,Non-Incumbent,country,New York's 18th congressional district,U.S. Representative,5f502a66-f6c6-5f11-94a5-bab2d78698d9,"Conservative Party, Republican Party",,,,c2279efa-4274-45ed-b891-55fd15399ddf,,,,,,,,,,https://www.facebook.com/EspositoforNY,https://www.instagram.com/EspositoforNY/,https://x.com/EspositoforNY,https://www.youtube.com/@EspositoforNY,,,,,,,,,,Lean Democrat,1.0,,,Republican Party
Allan Baucom,H4NC08058,0.0,Allan,Baucom,,North Carolina,NC,8.0,Non-Incumbent,country,North Carolina's 8th congressional district,U.S. Representative,347658d1-70ef-591e-ae62-9494ef129d5e,Republican Party,,,,b444953b-8f44-4cd8-84e7-0ffa6f32cc4a,,,,,,,,,,https://www.facebook.com/profile.php?id=61551627008815,,,,,,,,,,,,,Not Competitive,0.0,,,Republican Party
Allek Pastrana,H2FL07230,0.0,Allek,Pastrana,,Florida,FL,7.0,Non-Incumbent,country,Florida's 7th congressional district,U.S. Representative,ee0cddf7-26e4-5936-a918-cab647131fc2,Democratic Party,,,,900f0e46-1a0e-4d9f-aa4d-ffcc5495443a,,,,,,,,,,https://www.facebook.com/voteallek,https://www.instagram.com/ALLEKPASTRANA/,https://twitter.com/allekpastrana,https://www.youtube.com/@allekpastranaforcongress3246,https://tiktok.com/@allekpastrana,,,,,,,,,Not Competitive,0.0,,,Democratic Party
